datetime,state_code,country_code,lat,lon,city_name,station_id,ts,rh,clouds,pres,snow,snow_depth,precip,wind_spd,wind_dir,max_wind_spd,max_wind_dir,wind_gust_spd,temp,max_temp,min_temp
2018-09-11,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,1536616800,86.2,96,1009.5,0,,5.7,9.9,220,14.0,270,14.0,14.7,17.6,13.6
2018-09-12,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,1536703200,81.0,81,1010.8,0,,0.3,10.2,249,12.0,265,12.0,13.4,14.8,11.4
2018-09-13,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,1536789600,76.1,25,1014.6,0,,0.0,7.7,246,10.0,275,10.0,13.0,16.7,8.3
2018-09-14,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,1536876000,77.7,91,1012.7,0,,0.5,8.2,223,8.8,247,8.8,13.7,16.9,10.2
2018-09-15,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,1536962400,76.1,32,1011.8,0,,2.5,8.2,255,9.6,306,9.6,13.9,15.8,12.0
2018-09-16,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,1537048800,81.3,74,1015.9,0,,0.1,7.4,220,10.0,306,10.0,13.7,17.3,7.3
2018-09-17,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,1537135200,84.9,97,1012.4,0,,1.1,7.0,215,10.0,252,10.0,15.6,15.6,15.5
2018-09-18,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,1537221600,72.6,43,1008.4,0,,0.0,8.6,168,12.0,275,12.0,21.9,23.9,17.8
2018-09-19,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,1537308000,78.9,44,1008.5,0,,0.0,9.0,208,10.8,245,10.8,18.0,21.5,13.9
2018-09-20,17,DK,55.785797,12.521533,Kongens Lyngby,061810-99999,1537394400,84.5,91,1007.4,0,,1.1,8.0,220,10.4,310,10.4,17.0,19.2,14.8
